Date,Open,High,Low,Close
2015/04/24,2112.80005,2120.91992,2112.80005,2117.68994
2015/04/23,2107.20996,2120.48999,2103.18994,2112.92993
2015/04/22,2098.27002,2109.97998,2091.05005,2107.95996
2015/04/21,2102.82007,2109.63989,2094.37988,2097.29004
2015/04/20,2084.11011,2103.93994,2084.11011,2100.3999
2015/04/17,2102.58008,2102.58008,2072.37012,2081.17993
2015/04/16,2105.95996,2111.30005,2100.02002,2104.98999
2015/04/15,2097.82007,2111.90991,2097.82007,2106.62988
2015/04/14,2092.28003,2098.62012,2083.23999,2095.84009
2015/04/13,2102.03003,2107.6499,2092.33008,2092.42993
2015/04/10,2091.51001,2102.61011,2091.51001,2102.06006
2015/04/09,2081.29004,2093.31006,2074.29004,2091.17993
2015/04/08,2076.93994,2086.68994,2073.30005,2081.8999
2015/04/07,2080.79004,2089.81006,2076.1001,2076.33008
2015/04/06,2064.87012,2086.98999,2056.52002,2080.62012
2015/04/02,2060.03003,2072.16992,2057.32007,2066.95996
2015/04/01,2067.62988,2067.62988,2048.37988,2059.68994
2015/03/31,2084.05005,2084.05005,2067.04004,2067.88989
2015/03/30,2064.11011,2088.96997,2064.11011,2086.23999
2015/03/27,2055.78003,2062.83008,2052.95996,2061.02002
2015/03/26,2059.93994,2067.1499,2045.5,2056.1499
2015/03/25,2093.1001,2097.42993,2061.05005,2061.05005
2015/03/24,2103.93994,2107.62988,2091.5,2091.5
2015/03/23,2107.98999,2114.86011,2104.41992,2104.41992
2015/03/20,2090.32007,2113.91992,2090.32007,2108.1001
2015/03/19,2098.68994,2098.68994,2085.56006,2089.27002
2015/03/18,2072.84009,2106.8501,2061.22998,2099.5
2015/03/17,2080.59009,2080.59009,2065.08008,2074.28003
2015/03/16,2055.3501,2081.40991,2055.3501,2081.18994
2015/03/13,2064.56006,2064.56006,2041.17004,2053.3999
2015/03/12,2041.09998,2066.40991,2041.09998,2065.94995
2015/03/11,2044.68994,2050.08008,2039.68994,2040.23999
2015/03/10,2076.13989,2076.13989,2044.16003,2044.16003
2015/03/09,2072.25,2083.48999,2072.20996,2079.42993
2015/03/06,2100.90991,2100.90991,2067.27002,2071.26001
2015/03/05,2098.54004,2104.25,2095.21997,2101.04004
2015/03/04,2107.71997,2107.71997,2094.48999,2098.53003
2015/03/03,2115.76001,2115.76001,2098.26001,2107.78003
2015/03/02,2105.22998,2117.52002,2104.5,2117.38989
2015/02/27,2110.87988,2112.73999,2103.75,2104.5
2015/02/26,2113.90991,2113.90991,2103.76001,2110.73999
2015/02/25,2115.30005,2119.59009,2109.88989,2113.86011
2015/02/24,2109.1001,2117.93994,2105.87012,2115.47998
2015/02/23,2109.83008,2110.05005,2103,2109.65991
2015/02/20,2097.6499,2110.61011,2085.43994,2110.30005
2015/02/19,2099.25,2102.12988,2090.79004,2097.44995
2015/02/18,2099.15991,2100.22998,2092.1499,2099.67993
2015/02/17,2096.46997,2101.30005,2089.80005,2100.34009
2015/02/13,2088.78003,2097.03003,2086.69995,2096.98999
2015/02/12,2069.97998,2088.53003,2069.97998,2088.47998
2015/02/11,2068.55005,2073.47998,2057.98999,2068.53003
2015/02/10,2049.37988,2070.86011,2048.62012,2068.59009
2015/02/09,2053.46997,2056.15991,2041.88,2046.73999
2015/02/06,2062.28003,2072.3999,2049.96997,2055.46997
2015/02/05,2043.44995,2063.55005,2043.44995,2062.52002
2015/02/04,2048.86011,2054.73999,2036.71997,2041.51001
2015/02/03,2022.70996,2050.30005,2022.70996,2050.03003
2015/02/02,1996.67004,2021.66003,1980.90002,2020.84998
2015/01/30,2019.34998,2023.31995,1993.38,1994.98999
2015/01/29,2002.44995,2024.64001,1989.18005,2021.25
2015/01/28,2032.33997,2042.48999,2001.48999,2002.16003
2015/01/27,2047.85999,2047.85999,2019.91003,2029.55005
2015/01/26,2050.41992,2057.62012,2040.96997,2057.09009
2015/01/23,2062.97998,2062.97998,2050.54004,2051.82007
2015/01/22,2034.30005,2064.62012,2026.38,2063.1499
2015/01/21,2020.18994,2038.29004,2012.04004,2032.12
2015/01/20,2020.76001,2028.93994,2004.48999,2022.55005
2015/01/16,1992.25,2020.45996,1988.12,2019.42004
2015/01/15,2013.75,2021.34998,1991.46997,1992.67004
2015/01/14,2018.40002,2018.40002,1988.43994,2011.27002
2015/01/13,2031.57996,2056.92993,2008.25,2023.03003
2015/01/12,2046.13,2049.30005,2022.57996,2028.26001
2015/01/09,2063.44995,2064.42993,2038.32996,2044.81006
2015/01/08,2030.60999,2064.08008,2030.60999,2062.13989
2015/01/07,2005.55005,2029.60999,2005.55005,2025.90002
2015/01/06,2022.15002,2030.25,1992.43994,2002.60999
2015/01/05,2054.43994,2054.43994,2017.33997,2020.57996
2015/01/02,2058.8999,2072.36011,2046.04004,2058.19995
2014/12/31,2082.11011,2085.58008,2057.93994,2058.8999
2014/12/30,2088.48999,2088.48999,2079.53003,2080.3501
2014/12/29,2087.62988,2093.55005,2085.75,2090.57007
2014/12/26,2084.30005,2092.69995,2084.30005,2088.77002
2014/12/24,2083.25,2087.56006,2081.86011,2081.87988
2014/12/23,2081.47998,2086.72998,2079.77002,2082.16992
2014/12/22,2069.28003,2078.76001,2069.28003,2078.54004
2014/12/19,2061.04004,2077.8501,2061.03003,2070.6499
2014/12/18,2018.97998,2061.22998,2018.97998,2061.22998
2014/12/17,1973.77002,2016.75,1973.77002,2012.89001
2014/12/16,1986.70996,2016.89001,1972.56006,1972.73999
2014/12/15,2005.03003,2018.68994,1982.26001,1989.63
2014/12/12,2030.35999,2032.25,2002.32996,2002.32996
2014/12/11,2027.92004,2055.53003,2027.92004,2035.32996
2014/12/10,2058.86011,2058.86011,2024.26001,2026.14001
2014/12/09,2056.55005,2060.6001,2034.17004,2059.82007
2014/12/08,2074.84009,2075.78003,2054.27002,2060.31006
2014/12/05,2072.78003,2079.46997,2070.81006,2075.37012
2014/12/04,2073.63989,2077.34009,2062.34009,2071.91992
2014/12/03,2067.44995,2076.28003,2066.6499,2074.33008
2014/12/02,2053.77002,2068.77002,2053.77002,2066.55005
2014/12/01,2065.78003,2065.78003,2049.57007,2053.43994
2014/11/28,2074.78003,2075.76001,2065.06006,2067.56006
2014/11/26,2067.36011,2073.29004,2066.62012,2072.83008
2014/11/25,2070.1499,2074.20996,2064.75,2067.03003
2014/11/24,2065.07007,2070.16992,2065.07007,2069.40991
2014/11/21,2057.45996,2071.45996,2056.75,2063.5
2014/11/20,2045.87,2053.84009,2040.48999,2052.75
2014/11/19,2051.15991,2052.13989,2040.37,2048.71997
2014/11/18,2041.47998,2056.08008,2041.47998,2051.80005
2014/11/17,2038.29004,2043.06995,2034.45996,2041.31995
2014/11/14,2039.73999,2042.21997,2035.19995,2039.81995
2014/11/13,2039.20996,2046.18005,2030.43994,2039.32996
2014/11/12,2037.75,2040.32996,2031.94995,2038.25
2014/11/11,2038.19995,2041.28003,2035.28003,2039.68005
2014/11/10,2032.01001,2038.69995,2030.17004,2038.26001
2014/11/07,2032.35999,2034.26001,2025.06995,2031.92004
2014/11/06,2023.32996,2031.60999,2015.85999,2031.20996
2014/11/05,2015.29004,2023.77002,2014.42004,2023.56995
2014/11/04,2015.81006,2015.97998,2001.01001,2012.09998
2014/11/03,2018.20996,2024.45996,2013.68005,2017.81006
2014/10/31,2001.19995,2018.18994,2001.19995,2018.05005
2014/10/30,1979.48999,1999.40002,1974.75,1994.65002
2014/10/29,1983.29004,1991.40002,1969.04004,1982.30005
2014/10/28,1964.14001,1985.05005,1964.14001,1985.05005
2014/10/27,1962.96997,1964.64001,1951.37,1961.63
2014/10/24,1951.58997,1965.27002,1946.27002,1964.57996
2014/10/23,1931.02002,1961.94995,1931.02002,1950.81995
2014/10/22,1941.29004,1949.31006,1926.82996,1927.10999
2014/10/21,1909.38,1942.44995,1909.38,1941.28003
2014/10/20,1885.62,1905.03003,1882.30005,1904.01001
2014/10/17,1864.91003,1898.16003,1864.91003,1886.76001
2014/10/16,1855.94995,1876.01001,1835.02002,1862.76001
2014/10/15,1874.18005,1874.18005,1820.66003,1862.48999
2014/10/14,1877.10999,1898.70996,1871.79004,1877.69995
2014/10/13,1905.65002,1912.08997,1874.14001,1874.73999
2014/10/10,1925.63,1936.97998,1906.05005,1906.13
2014/10/09,1967.68005,1967.68005,1927.56006,1928.20996
2014/10/08,1935.55005,1970.35999,1925.25,1968.89001
2014/10/07,1962.35999,1962.35999,1934.87,1935.09998
